Step Size Beam'R X =1.663076,Beam'R X =3.223860,Beam'R X =0.000000,Beam'R X =0.000000	  
622, 33, 507, 45   
631, 33, 515, 46   
641, 33, 523, 46   
650, 34, 531, 47   
660, 34, 539, 48   
670, 35, 547, 48   
680, 35, 555, 49   
690, 36, 563, 50   
700, 36, 571, 50   
710, 37, 579, 51   
720, 37, 587, 52   
730, 38, 596, 52   
740, 38, 604, 53   
751, 39, 613, 54   
761, 39, 621, 55   
771, 40, 630, 55   
782, 41, 638, 56   
792, 41, 647, 57   
803, 42, 655, 58   
814, 43, 664, 58   
824, 43, 672, 59   
835, 44, 681, 60   
846, 45, 689, 61   
856, 45, 698, 62   
867, 46, 707, 63   
878, 47, 716, 63   
890, 47, 725, 64   
901, 48, 734, 65   
912, 49, 743, 66   
924, 49, 752, 67   
935, 50, 761, 68   
946, 51, 770, 68   
958, 51, 780, 69   
969, 52, 789, 70   
981, 53, 799, 71   
992, 54, 808, 72   
1004, 54, 818, 73   
1015, 55, 827, 74   
1027, 56, 836, 75   
1038, 57, 845, 76   
1050, 57, 855, 77   
1062, 58, 864, 78   
1074, 59, 873, 79   
1086, 60, 883, 80   
1098, 60, 892, 81   
1110, 61, 901, 82   
1122, 62, 909, 83   
1134, 62, 918, 84   
1146, 63, 927, 85   
1158, 64, 936, 86   
1170, 65, 945, 88   
1182, 66, 955, 89   
1194, 67, 964, 90   
1206, 68, 974, 91   
1218, 69, 983, 92   
1231, 70, 992, 93   
1243, 70, 1002, 95   
1255, 71, 1011, 96   
1268, 72, 1021, 97   
1280, 73, 1030, 99   
1292, 74, 1040, 100   
1305, 75, 1050, 101   
1317, 76, 1060, 103   
1330, 77, 1070, 104   
1342, 78, 1080, 105   
1355, 79, 1090, 107   
1367, 80, 1099, 108   
1380, 81, 1109, 110   
1392, 82, 1118, 111   
1405, 83, 1128, 112   
1417, 84, 1137, 114   
1430, 86, 1147, 115   
1442, 87, 1157, 116   
1455, 88, 1166, 118   
1467, 89, 1175, 119   
1480, 90, 1184, 121   
1492, 91, 1194, 122   
1505, 92, 1203, 124   
1518, 94, 1213, 125   
1530, 95, 1223, 127   
1543, 96, 1233, 128   
1555, 98, 1243, 130   
1568, 99, 1253, 131   
1581, 100, 1263, 133   
1593, 101, 1273, 135   
1606, 102, 1282, 137   
1618, 104, 1292, 138   
1630, 105, 1301, 140   
1643, 106, 1310, 142   
1655, 108, 1320, 144   
1667, 109, 1329, 145   
1680, 110, 1338, 147   
1692, 112, 1347, 149   
1704, 113, 1357, 151   
1717, 115, 1367, 153   
1729, 116, 1376, 155   
1741, 117, 1385, 157   
1753, 119, 1394, 159   
1765, 120, 1403, 161   
1778, 121, 1411, 163   
1790, 123, 1419, 165   
1802, 124, 1427, 167   
1814, 126, 1435, 169   
1826, 127, 1444, 171   
1838, 129, 1453, 173   
1849, 130, 1463, 175   
1861, 132, 1472, 178   
1873, 134, 1482, 180   
1885, 135, 1491, 182   
1896, 137, 1501, 184   
1907, 138, 1510, 187   
1919, 140, 1519, 189   
1930, 142, 1528, 191   
1942, 143, 1537, 193   
1953, 145, 1546, 196   
1964, 147, 1556, 198   
1976, 149, 1565, 200   
1987, 151, 1575, 202   
1998, 153, 1584, 205   
2009, 155, 1593, 207   
2020, 157, 1601, 210   
2031, 159, 1609, 212   
2042, 161, 1617, 215   
2052, 163, 1624, 217   
2063, 165, 1632, 220   
2073, 167, 1640, 222   
2083, 169, 1648, 225   
