Sample#, X-Step size = 1.6631, Y-Step size = 3.2239 ; 
#935, 2201, 194 ; 
#936, 2211, 196 ; 
#937, 2220, 199 ; 
#938, 2229, 201 ; 
#939, 2238, 204 ; 
#940, 2247, 206 ; 
#941, 2256, 209 ; 
#942, 2265, 211 ; 
#943, 2273, 214 ; 
#944, 2281, 216 ; 
#945, 2290, 219 ; 
#946, 2298, 221 ; 
#947, 2306, 224 ; 
#948, 2314, 227 ; 
#949, 2322, 229 ; 
#950, 2330, 232 ; 
#951, 2337, 235 ; 
#952, 2345, 238 ; 
#953, 2352, 240 ; 
#954, 2360, 243 ; 
#955, 2367, 246 ; 
#956, 2374, 249 ; 
#957, 2381, 252 ; 
#958, 2388, 255 ; 
#959, 2394, 257 ; 
#960, 2401, 260 ; 
#961, 2408, 263 ; 
#962, 2414, 266 ; 
#963, 2420, 269 ; 
#964, 2426, 272 ; 
#965, 2433, 276 ; 
#966, 2438, 279 ; 
#967, 2444, 282 ; 
#968, 2450, 285 ; 
#969, 2455, 288 ; 
#970, 2461, 291 ; 
#971, 2466, 295 ; 
#972, 2472, 298 ; 
#973, 2477, 301 ; 
#974, 2482, 304 ; 
#975, 2487, 308 ; 
#976, 2491, 311 ; 
#977, 2496, 315 ; 
#978, 2500, 318 ; 
#979, 2505, 322 ; 
#980, 2509, 325 ; 
#981, 2513, 329 ; 
#982, 2517, 332 ; 
#983, 2521, 336 ; 
#984, 2524, 339 ; 
#985, 2528, 343 ; 
#986, 2532, 347 ; 
#987, 2535, 351 ; 
#988, 2538, 355 ; 
#989, 2542, 359 ; 
#990, 2545, 363 ; 
#991, 2548, 367 ; 
#992, 2551, 372 ; 
#993, 2553, 376 ; 
#994, 2556, 381 ; 
#995, 2558, 385 ; 
#996, 2560, 390 ; 
#997, 2563, 394 ; 
#998, 2565, 398 ; 
#999, 2567, 402 ; 
#1000, 2568, 407 ; 
#1001, 2570, 411 ; 
#1002, 2572, 415 ; 
#1003, 2573, 420 ; 
#1004, 2575, 424 ; 
#1005, 2576, 429 ; 
#1006, 2577, 433 ; 
#1007, 2578, 438 ; 
#1008, 2579, 443 ; 
#1009, 2579, 447 ; 
#1010, 2580, 452 ; 
#1011, 2580, 457 ; 
#1012, 2581, 462 ; 
#1013, 2581, 466 ; 
#1014, 2581, 471 ; 
#1015, 2581, 476 ; 
#1016, 2581, 481 ; 
#1017, 2581, 486 ; 
#1018, 2581, 491 ; 
#1019, 2581, 497 ; 
#1020, 2580, 502 ; 
#1021, 2579, 507 ; 
#1022, 2579, 512 ; 
#1023, 2578, 517 ; 
#1024, 2577, 523 ; 
#1025, 2576, 528 ; 
#1026, 2575, 534 ; 
#1027, 2574, 539 ; 
#1028, 2572, 545 ; 
#1029, 2571, 550 ; 
#1030, 2569, 556 ; 
#1031, 2568, 561 ; 
#1032, 2566, 567 ; 
#1033, 2564, 572 ; 
#1034, 2562, 578 ; 
#1035, 2560, 583 ; 
#1036, 2558, 589 ; 
#1037, 2556, 595 ; 
#1038, 2553, 601 ; 
#1039, 2551, 607 ; 
#1040, 2548, 613 ; 
#1041, 2546, 619 ; 
#1042, 2543, 625 ; 
#1043, 2540, 631 ; 
#1044, 2537, 638 ; 
